Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
genus	Trichocomaceae	0.982	0.7105	50	Trichocomaceae	0.982	0.7105	50	1380	10	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pyronemataceae	0.951	0.5543	50	Pyronemataceae	0.951	0.5543	50	5534	59	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Boletaceae	0.97	0.4219	50	All	0.965	0.4825	50	4426	88	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Hymenogastraceae	0.986	0.5003	50	Hymenogastraceae	0.986	0.5003	50	3792	12	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pezizaceae	0.893	0.5821	50	Pezizaceae	0.893	0.5821	50	3087	48	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pichiaceae	0.7	0.7053	50	All	0.965	0.4825	50	1225	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Leptosphaeriaceae	0.968	0.4402	50	All	0.965	0.4825	50	504	17	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Microascaceae	0.983	0.6587	50	Microascaceae	0.983	0.6587	50	1446	24	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Lyophyllaceae	0.954	0.4534	50	All	0.965	0.4825	50	1567	22	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Ustilaginaceae	0.978	0.5246	50	Ustilaginaceae	0.978	0.5246	50	992	17	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Mycosphaerellaceae	0.981	0.5043	50	Mycosphaerellaceae	0.981	0.5043	50	2845	123	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Didymellaceae	0.989	0.2961	50	All	0.965	0.4825	50	3467	37	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Steccherinaceae	0.958	0.5942	50	Steccherinaceae	0.958	0.5942	50	572	23	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pezizellaceae	0.964	0.4349	50	All	0.965	0.4825	50	917	20	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Rhytismataceae	0.954	0.607	50	Rhytismataceae	0.954	0.607	50	707	25	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Clavicipitaceae	0.992	0.5832	50	Clavicipitaceae	0.992	0.5832	50	2095	42	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Irpicaceae	0.983	0.5318	50	Irpicaceae	0.983	0.5318	50	780	15	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
