Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	max proportion	fasta filename	classification filename
species	Pezicula	0.989	0.7803	196	27	50	0.2815	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cryptococcus	0.981	0.9626	335	14	50	0.5594	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lecanora	0.973	0.7672	584	165	50	0.072	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Calocera	0.926	0.7315	30	10	50	0.2667	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Stropharia	0.984	0.8738	76	14	50	0.2449	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hohenbuehelia	0.974	0.836	89	28	50	0.1212	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Periconia	0.97	0.8333	155	22	50	0.3622	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Galerina	0.977	0.9112	218	43	50	0.2349	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phlegmacium	0.991	0.8817	453	154	50	0.0312	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ochrolechia	0.986	0.7877	64	17	50	0.1899	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
